coin,entry_time,exit_time,direction,entry_price,exit_price,tp,sl,rr,bars_held,net_pnl,outcome,lgbm_conf
DOTUSDT,2026-04-30 08:00:00+00:00,2026-05-01 13:00:00+00:00,LONG,1.209604,1.221389,1.231983,1.189405,1.11,29,0.2236,GUARDIAN_EXIT,0.7837
POLUSDT,2026-04-30 08:00:00+00:00,2026-04-30 13:00:00+00:00,LONG,0.093987,0.094663,0.095944,0.092381,1.22,5,0.1597,GUARDIAN_MOMENTUM_FLOOR,0.7519
SUIUSDT,2026-04-30 09:00:00+00:00,2026-05-01 09:00:00+00:00,LONG,0.907854,0.912743,0.922652,0.8945,1.11,24,0.1146,GUARDIAN_EXIT,0.7533
NEARUSDT,2026-04-30 09:00:00+00:00,2026-04-30 16:00:00+00:00,LONG,1.325662,1.307979,1.34713,1.308633,1.26,7,-0.3535,LOSS,0.7527
ONDOUSDT,2026-04-30 09:00:00+00:00,2026-05-01 06:00:00+00:00,LONG,0.263632,0.264768,0.268916,0.257079,0.81,21,0.0877,GUARDIAN_EXIT,0.8087
SOLUSDT,2026-04-30 11:00:00+00:00,2026-05-01 13:00:00+00:00,SHORT,82.93851,84.313143,81.81448,84.271007,0.84,26,-0.4344,LOSS,0.7481
BNBUSDT,2026-04-30 12:00:00+00:00,2026-05-01 03:00:00+00:00,LONG,615.96783,618.480605,620.795239,612.347273,1.33,15,0.082,GUARDIAN_MOMENTUM_FLOOR,0.8323
TRXUSDT,2026-04-30 21:00:00+00:00,2026-05-02 03:00:00+00:00,SHORT,0.326147,0.327283,0.32485,0.32712,1.33,30,-0.1071,LOSS,0.749
ADAUSDT,2026-05-01 03:00:00+00:00,2026-05-02 15:00:00+00:00,LONG,0.248724,0.2486,0.252102,0.244256,0.76,36,-0.0325,TIMEOUT,0.7839
1000SHIBUSDT,2026-05-01 08:00:00+00:00,2026-05-02 08:00:00+00:00,SHORT,0.006326,0.006235,0.006217,0.006414,1.23,24,0.3385,GUARDIAN_EXIT,0.8441
BTCUSDT,2026-05-01 12:00:00+00:00,2026-05-01 14:00:00+00:00,LONG,77886.1236,78273.74355,78646.581753,76643.585462,0.61,2,0.1044,GUARDIAN_MOMENTUM_FLOOR,0.754
NEARUSDT,2026-05-01 12:00:00+00:00,2026-05-01 18:00:00+00:00,SHORT,1.302348,1.293646,1.28463,1.31643,1.26,6,0.147,GUARDIAN_MOMENTUM_FLOOR,0.714
ONDOUSDT,2026-05-01 13:00:00+00:00,2026-05-01 17:00:00+00:00,LONG,0.269034,0.271164,0.273532,0.262976,0.74,4,0.1779,GUARDIAN_MOMENTUM_FLOOR,0.7614
DOGEUSDT,2026-05-01 21:00:00+00:00,2026-05-02 06:00:00+00:00,SHORT,0.109295,0.108054,0.107323,0.110993,1.16,9,0.2639,GUARDIAN_MOMENTUM_FLOOR,0.7226
SUIUSDT,2026-05-02 00:00:00+00:00,2026-05-02 21:00:00+00:00,LONG,0.919259,0.928436,0.930075,0.909496,1.11,21,0.2296,GUARDIAN_MOMENTUM_FLOOR,0.7609
HBARUSDT,2026-05-02 03:00:00+00:00,2026-05-02 21:00:00+00:00,LONG,0.088024,0.088726,0.088757,0.087437,1.25,18,0.1793,GUARDIAN_MOMENTUM_FLOOR,0.7738
AVAXUSDT,2026-05-02 12:00:00+00:00,2026-05-02 17:00:00+00:00,LONG,9.081538,9.130432,9.150134,9.030092,1.33,5,0.1146,GUARDIAN_MOMENTUM_FLOOR,0.8782
POLUSDT,2026-05-03 01:00:00+00:00,2026-05-03 17:00:00+00:00,LONG,0.097089,0.096153,0.098271,0.096201,1.33,16,-0.2608,LOSS,0.7946
SUIUSDT,2026-05-03 09:00:00+00:00,2026-05-04 01:00:00+00:00,SHORT,0.918441,0.930372,0.910014,0.929907,0.73,16,-0.3448,LOSS,0.7725
TAOUSDT,2026-05-03 11:00:00+00:00,2026-05-04 10:00:00+00:00,SHORT,287.806025,284.432145,280.477291,294.082183,1.17,23,0.2731,GUARDIAN_MOMENTUM_FLOOR,0.7132
1000PEPEUSDT,2026-05-03 12:00:00+00:00,2026-05-04 01:00:00+00:00,SHORT,0.003952,0.004011,0.003897,0.004009,0.96,13,-0.3913,LOSS,0.7341
SOLUSDT,2026-05-04 00:00:00+00:00,2026-05-04 06:00:00+00:00,LONG,83.791875,84.787585,84.806828,83.03066,1.33,6,0.2771,GUARDIAN_MOMENTUM_FLOOR,0.8367
ADAUSDT,2026-05-04 00:00:00+00:00,2026-05-04 05:00:00+00:00,LONG,0.249024,0.252874,0.25243,0.24647,1.33,5,0.3664,GUARDIAN_MOMENTUM_FLOOR,0.7922
DOTUSDT,2026-05-04 00:00:00+00:00,2026-05-04 06:00:00+00:00,LONG,1.210605,1.244378,1.232155,1.194443,1.33,6,0.6774,GUARDIAN_MOMENTUM_FLOOR,0.7746
BTCUSDT,2026-05-04 01:00:00+00:00,2026-05-05 01:00:00+00:00,LONG,79795.77795,80270.74455,80853.093222,78249.871182,0.68,24,0.1288,GUARDIAN_EXIT,0.787
BNBUSDT,2026-05-04 01:00:00+00:00,2026-05-04 04:00:00+00:00,LONG,622.961325,632.853415,628.780188,617.035284,0.98,3,0.377,GUARDIAN_MOMENTUM_FLOOR,0.7862
AVAXUSDT,2026-05-04 01:00:00+00:00,2026-05-04 05:00:00+00:00,LONG,9.199598,9.310342,9.375757,9.00596,0.91,4,0.281,GUARDIAN_MOMENTUM_FLOOR,0.7574
SUIUSDT,2026-05-04 01:00:00+00:00,2026-05-04 04:00:00+00:00,LONG,0.930565,0.945227,0.946264,0.915875,1.07,3,0.3739,GUARDIAN_MOMENTUM_FLOOR,0.7906
HBARUSDT,2026-05-04 01:00:00+00:00,2026-05-05 08:00:00+00:00,LONG,0.088504,0.089095,0.089734,0.087383,1.1,31,0.147,GUARDIAN_EXIT,0.7593
SOLUSDT,2026-05-04 08:00:00+00:00,2026-05-04 10:00:00+00:00,SHORT,84.67764,84.042,83.29,86.168272,0.93,2,0.1677,GUARDIAN_MOMENTUM_FLOOR,0.8832
ETHUSDT,2026-05-04 08:00:00+00:00,2026-05-05 20:00:00+00:00,SHORT,2357.870475,2359.04941,2308.1,2408.09786,0.99,36,-0.0911,TIMEOUT,0.8188
XRPUSDT,2026-05-04 08:00:00+00:00,2026-05-04 14:00:00+00:00,SHORT,1.409995,1.408104,1.3822,1.424693,1.89,6,0.0135,GUARDIAN_EXIT,0.7608
ADAUSDT,2026-05-04 08:00:00+00:00,2026-05-04 10:00:00+00:00,SHORT,0.251274,0.248324,0.2471,0.255925,0.9,2,0.2735,GUARDIAN_MOMENTUM_FLOOR,0.7772
1000SHIBUSDT,2026-05-04 08:00:00+00:00,2026-05-04 10:00:00+00:00,SHORT,0.006241,0.006165,0.006124,0.006376,0.87,2,0.2836,GUARDIAN_MOMENTUM_FLOOR,0.743
SUIUSDT,2026-05-04 08:00:00+00:00,2026-05-04 14:00:00+00:00,SHORT,0.937431,0.937268,0.9121,0.962268,1.02,6,-0.0157,GUARDIAN_EXIT,0.711
POLUSDT,2026-05-04 08:00:00+00:00,2026-05-04 21:00:00+00:00,SHORT,0.096122,0.097836,0.094655,0.097787,0.88,13,-0.4657,LOSS,0.7781
NEARUSDT,2026-05-04 09:00:00+00:00,2026-05-04 14:00:00+00:00,SHORT,1.282358,1.279639,1.255844,1.318629,0.73,5,0.033,GUARDIAN_MOMENTUM_FLOOR,0.9255
ARBUSDT,2026-05-04 09:00:00+00:00,2026-05-04 14:00:00+00:00,SHORT,0.117741,0.116958,0.114792,0.121237,0.84,5,0.1462,GUARDIAN_MOMENTUM_FLOOR,0.8977
AVAXUSDT,2026-05-04 10:00:00+00:00,2026-05-04 15:00:00+00:00,LONG,9.117556,9.133431,9.377,8.928157,1.37,5,0.0235,GUARDIAN_EXIT,0.8275
1000PEPEUSDT,2026-05-04 10:00:00+00:00,2026-05-04 15:00:00+00:00,LONG,0.003969,0.003998,0.004129,0.003874,1.69,5,0.1666,GUARDIAN_EXIT,0.8049
ADAUSDT,2026-05-04 13:00:00+00:00,2026-05-05 07:00:00+00:00,SHORT,0.249775,0.256224,0.245392,0.256096,0.69,18,-0.6655,LOSS,0.8042
TONUSDT,2026-05-04 14:00:00+00:00,2026-05-04 20:00:00+00:00,SHORT,1.452873,1.489098,1.3613,1.488354,2.58,6,-0.3465,LOSS,0.8358
NEARUSDT,2026-05-04 14:00:00+00:00,2026-05-04 17:00:00+00:00,SHORT,1.27836,1.277638,1.24372,1.304341,1.33,3,-0.0059,GUARDIAN_EXIT,0.788
XRPUSDT,2026-05-04 16:00:00+00:00,2026-05-05 17:00:00+00:00,LONG,1.4006,1.407096,1.425865,1.378384,1.14,25,0.096,GUARDIAN_EXIT,0.7753
1000PEPEUSDT,2026-05-04 19:00:00+00:00,2026-05-05 14:00:00+00:00,LONG,0.004009,0.004093,0.004121,0.003925,1.33,19,0.4997,GUARDIAN_MOMENTUM_FLOOR,0.7812
TAOUSDT,2026-05-04 19:00:00+00:00,2026-05-05 01:00:00+00:00,SHORT,282.048905,288.917355,273.557031,288.772968,1.26,6,-0.6288,LOSS,0.7001
NEARUSDT,2026-05-04 20:00:00+00:00,2026-05-05 20:00:00+00:00,SHORT,1.268366,1.290827,1.239277,1.290182,1.33,24,-0.4627,LOSS,0.7553
AVAXUSDT,2026-05-04 21:00:00+00:00,2026-05-05 10:00:00+00:00,SHORT,9.222386,9.392496,9.001833,9.387802,1.33,13,-0.4811,LOSS,0.7669
SUIUSDT,2026-05-04 21:00:00+00:00,2026-05-05 10:00:00+00:00,SHORT,0.935532,0.950005,0.916867,0.94953,1.33,13,-0.4068,LOSS,0.7214
SUIUSDT,2026-05-05 12:00:00+00:00,2026-05-06 01:00:00+00:00,SHORT,0.970015,0.98271,0.9382,0.982219,2.61,13,-0.2156,LOSS,0.753
SOLUSDT,2026-05-05 13:00:00+00:00,2026-05-05 22:00:00+00:00,LONG,85.62279,86.49673,86.574024,84.152192,0.65,9,0.2352,GUARDIAN_MOMENTUM_FLOOR,0.764
ETHUSDT,2026-05-05 20:00:00+00:00,2026-05-06 09:00:00+00:00,SHORT,2380.179315,2407.308091,2351.27916,2406.105039,1.11,13,-0.3049,LOSS,0.7005
ONDOUSDT,2026-05-06 03:00:00+00:00,2026-05-06 15:00:00+00:00,LONG,0.32036,0.328236,0.332475,0.310071,1.18,12,0.2811,GUARDIAN_MOMENTUM_FLOOR,0.7529
1000PEPEUSDT,2026-05-06 07:00:00+00:00,2026-05-06 14:00:00+00:00,SHORT,0.004213,0.004136,0.004101,0.004296,1.33,7,0.4341,GUARDIAN_MOMENTUM_FLOOR,0.7336
DOGEUSDT,2026-05-06 12:00:00+00:00,2026-05-06 13:00:00+00:00,SHORT,0.115952,0.112766,0.11361,0.117816,1.26,1,0.6668,GUARDIAN_MOMENTUM_FLOOR,0.7432
ETHUSDT,2026-05-06 13:00:00+00:00,2026-05-07 05:00:00+00:00,SHORT,2366.17632,2331.355095,2326.238492,2396.129691,1.33,16,0.3479,GUARDIAN_MOMENTUM_FLOOR,0.8615
BNBUSDT,2026-05-06 16:00:00+00:00,2026-05-08 04:00:00+00:00,LONG,650.375025,650.049837,664.72,635.515503,0.97,36,-0.0325,TIMEOUT,0.8201
1000SHIBUSDT,2026-05-06 20:00:00+00:00,2026-05-07 02:00:00+00:00,SHORT,0.006391,0.00632,0.006282,0.006543,0.71,6,0.2564,GUARDIAN_MOMENTUM_FLOOR,0.7302
TONUSDT,2026-05-06 21:00:00+00:00,2026-05-07 02:00:00+00:00,SHORT,2.41819,2.639235,2.184126,2.637916,1.07,5,-2.3052,LOSS,0.7099
XRPUSDT,2026-05-07 08:00:00+00:00,2026-05-08 08:00:00+00:00,SHORT,1.414892,1.387894,1.398694,1.429049,1.14,24,0.457,GUARDIAN_MOMENTUM_EXIT,0.723
TONUSDT,2026-05-07 08:00:00+00:00,2026-05-07 13:00:00+00:00,SHORT,2.683558,2.486543,2.391108,2.980912,0.98,5,1.8154,GUARDIAN_MOMENTUM_FLOOR,0.7781
SOLUSDT,2026-05-07 12:00:00+00:00,2026-05-07 23:00:00+00:00,SHORT,89.65515,88.4442,87.64,90.763531,1.82,11,0.3177,GUARDIAN_MOMENTUM_FLOOR,0.7358
POLUSDT,2026-05-07 12:00:00+00:00,2026-05-07 17:00:00+00:00,SHORT,0.09964,0.098549,0.098286,0.100656,1.33,5,0.2537,GUARDIAN_MOMENTUM_FLOOR,0.8245
ADAUSDT,2026-05-07 13:00:00+00:00,2026-05-07 17:00:00+00:00,SHORT,0.265867,0.262631,0.26082,0.269962,1.23,4,0.2843,GUARDIAN_MOMENTUM_FLOOR,0.7583
DOTUSDT,2026-05-07 13:00:00+00:00,2026-05-08 04:00:00+00:00,SHORT,1.316342,1.313656,1.285499,1.339474,1.33,15,0.031,GUARDIAN_EXIT,0.8306
1000PEPEUSDT,2026-05-07 13:00:00+00:00,2026-05-07 17:00:00+00:00,SHORT,0.00419,0.004152,0.004077,0.004278,1.29,4,0.2063,GUARDIAN_EXIT,0.9271
HBARUSDT,2026-05-07 13:00:00+00:00,2026-05-07 15:00:00+00:00,SHORT,0.090605,0.089585,0.089133,0.091858,1.17,2,0.2614,GUARDIAN_MOMENTUM_FLOOR,0.8194
ONDOUSDT,2026-05-07 13:00:00+00:00,2026-05-08 04:00:00+00:00,SHORT,0.361219,0.36018,0.3219,0.378648,2.26,15,0.0519,GUARDIAN_EXIT,0.8177
ARBUSDT,2026-05-07 16:00:00+00:00,2026-05-08 08:00:00+00:00,SHORT,0.126037,0.131604,0.121483,0.131538,0.83,16,-1.1243,LOSS,0.7344
AVAXUSDT,2026-05-07 18:00:00+00:00,2026-05-08 14:00:00+00:00,SHORT,9.492252,9.697618,9.305165,9.692772,0.93,20,-0.5609,LOSS,0.7028
DOGEUSDT,2026-05-08 08:00:00+00:00,2026-05-08 20:00:00+00:00,LONG,0.107013,0.108576,0.108703,0.105268,0.97,12,0.345,GUARDIAN_MOMENTUM_FLOOR,0.7817
SUIUSDT,2026-05-08 09:00:00+00:00,2026-05-09 09:00:00+00:00,LONG,0.977589,1.048775,0.996231,0.952239,0.74,24,1.8005,GUARDIAN_MOMENTUM_FLOOR,0.7727
TRXUSDT,2026-05-08 13:00:00+00:00,2026-05-09 07:00:00+00:00,LONG,0.349094,0.350745,0.35181,0.346439,1.02,18,0.0982,GUARDIAN_MOMENTUM_FLOOR,0.7533
ETHUSDT,2026-05-09 12:00:00+00:00,2026-05-09 15:00:00+00:00,SHORT,2314.46219,2317.67826,2299.576504,2328.231422,1.08,3,-0.0547,GUARDIAN_MOMENTUM_FLOOR,0.7024
DOGEUSDT,2026-05-09 20:00:00+00:00,2026-05-10 02:00:00+00:00,SHORT,0.109275,0.108594,0.10801,0.110936,0.76,6,0.1358,GUARDIAN_MOMENTUM_FLOOR,0.7108
TONUSDT,2026-05-10 00:00:00+00:00,2026-05-10 04:00:00+00:00,LONG,2.411505,2.510444,2.5456,2.325378,1.56,4,1.0057,GUARDIAN_MOMENTUM_FLOOR,0.7668
TAOUSDT,2026-05-10 00:00:00+00:00,2026-05-10 02:00:00+00:00,LONG,307.383615,312.00392,312.152161,303.807206,1.33,2,0.3558,GUARDIAN_MOMENTUM_FLOOR,0.7698
TONUSDT,2026-05-10 06:00:00+00:00,2026-05-10 14:00:00+00:00,SHORT,2.509445,2.427213,2.385725,2.63573,0.98,8,0.7992,GUARDIAN_MOMENTUM_FLOOR,0.7351
SUIUSDT,2026-05-10 14:00:00+00:00,2026-05-10 23:00:00+00:00,LONG,1.145973,1.331334,1.193134,1.07861,0.7,9,4.0238,GUARDIAN_MOMENTUM_FLOOR,0.7747
DOGEUSDT,2026-05-10 20:00:00+00:00,2026-05-11 00:00:00+00:00,LONG,0.107944,0.110395,0.110917,0.105714,1.33,4,0.5476,GUARDIAN_MOMENTUM_FLOOR,0.897
TRXUSDT,2026-05-10 20:00:00+00:00,2026-05-11 01:00:00+00:00,SHORT,0.351014,0.350025,0.349046,0.352772,1.12,5,0.0505,GUARDIAN_MOMENTUM_FLOOR,0.764
AVAXUSDT,2026-05-10 20:00:00+00:00,2026-05-11 00:00:00+00:00,LONG,10.087041,10.144925,10.411941,9.843366,1.33,4,0.1235,GUARDIAN_EXIT,0.798
BTCUSDT,2026-05-10 21:00:00+00:00,2026-05-11 00:00:00+00:00,LONG,80714.337,81389.58485,81587.9,80116.420315,1.46,3,0.1891,GUARDIAN_MOMENTUM_FLOOR,0.7564
HBARUSDT,2026-05-10 23:00:00+00:00,2026-05-12 11:00:00+00:00,LONG,0.097509,0.09746,0.100583,0.093851,0.84,36,-0.0325,TIMEOUT,0.7956
BTCUSDT,2026-05-11 00:00:00+00:00,2026-05-12 07:00:00+00:00,SHORT,81389.58485,80849.6046,80162.269983,82310.071,1.33,31,0.1459,GUARDIAN_EXIT,0.8493
1000SHIBUSDT,2026-05-11 03:00:00+00:00,2026-05-11 18:00:00+00:00,LONG,0.006502,0.00659,0.00667,0.006366,1.23,15,0.3162,GUARDIAN_MOMENTUM_FLOOR,0.7703
ADAUSDT,2026-05-11 06:00:00+00:00,2026-05-12 13:00:00+00:00,LONG,0.278239,0.272035,0.285157,0.272171,1.14,31,-0.3319,LOSS,0.7748
AVAXUSDT,2026-05-11 09:00:00+00:00,2026-05-12 18:00:00+00:00,SHORT,10.139928,9.828912,9.932418,10.304877,1.26,33,0.2524,GUARDIAN_MOMENTUM_FLOOR,0.7499
ARBUSDT,2026-05-11 09:00:00+00:00,2026-05-11 15:00:00+00:00,SHORT,0.142429,0.142071,0.138571,0.145764,1.16,6,0.0428,GUARDIAN_EXIT,0.7121
POLUSDT,2026-05-11 13:00:00+00:00,2026-05-11 17:00:00+00:00,SHORT,0.103918,0.102491,0.102312,0.105321,1.14,4,0.3233,GUARDIAN_MOMENTUM_FLOOR,0.7275
DOGEUSDT,2026-05-11 16:00:00+00:00,2026-05-12 11:00:00+00:00,SHORT,0.111094,0.109435,0.108605,0.113352,1.1,19,0.3535,GUARDIAN_MOMENTUM_FLOOR,0.7816
TAOUSDT,2026-05-11 21:00:00+00:00,2026-05-12 10:00:00+00:00,LONG,321.030435,313.48783,330.878145,313.644652,1.33,13,-0.6074,LOSS,0.7899
POLUSDT,2026-05-12 00:00:00+00:00,2026-05-12 02:00:00+00:00,SHORT,0.102719,0.101901,0.101372,0.103729,1.33,2,0.179,GUARDIAN_MOMENTUM_FLOOR,0.7387
NEARUSDT,2026-05-12 04:00:00+00:00,2026-05-12 08:00:00+00:00,LONG,1.534767,1.563218,1.572267,1.493625,0.91,4,0.4434,GUARDIAN_MOMENTUM_FLOOR,0.8796
1000SHIBUSDT,2026-05-12 05:00:00+00:00,2026-05-12 18:00:00+00:00,SHORT,0.006575,0.006403,0.006475,0.00666,1.17,13,0.6322,GUARDIAN_MOMENTUM_FLOOR,0.7068
POLUSDT,2026-05-12 05:00:00+00:00,2026-05-12 14:00:00+00:00,SHORT,0.101989,0.10038,0.100432,0.103649,0.94,9,0.3744,GUARDIAN_MOMENTUM_FLOOR,0.7863
TONUSDT,2026-05-12 08:00:00+00:00,2026-05-12 14:00:00+00:00,SHORT,2.437581,2.349074,2.313596,2.530569,1.33,6,0.8877,GUARDIAN_MOMENTUM_FLOOR,0.7371
LINKUSDT,2026-05-12 12:00:00+00:00,2026-05-12 17:00:00+00:00,SHORT,10.310842,10.24412,10.126044,10.567199,0.72,5,0.1418,GUARDIAN_MOMENTUM_FLOOR,0.7968
XRPUSDT,2026-05-12 18:00:00+00:00,2026-05-13 04:00:00+00:00,SHORT,1.434582,1.461515,1.411444,1.460785,0.88,10,-0.4893,LOSS,0.7013
AVAXUSDT,2026-05-12 18:00:00+00:00,2026-05-13 02:00:00+00:00,SHORT,9.819088,9.974092,9.630657,9.969108,1.26,8,-0.4147,LOSS,0.7215
SOLUSDT,2026-05-12 20:00:00+00:00,2026-05-13 12:00:00+00:00,SHORT,94.65265,93.156555,93.219365,95.878321,1.17,16,0.3752,GUARDIAN_MOMENTUM_FLOOR,0.7182
ADAUSDT,2026-05-12 21:00:00+00:00,2026-05-13 09:00:00+00:00,SHORT,0.271564,0.276415,0.2666,0.276277,1.05,12,-0.4666,LOSS,0.7491
POLUSDT,2026-05-13 00:00:00+00:00,2026-05-13 11:00:00+00:00,LONG,0.09961,0.09994,0.10154,0.098061,1.25,11,0.0629,GUARDIAN_EXIT,0.7771
ONDOUSDT,2026-05-13 08:00:00+00:00,2026-05-13 15:00:00+00:00,LONG,0.4005,0.384244,0.413155,0.384436,0.79,7,-0.7334,LOSS,0.7654
1000SHIBUSDT,2026-05-13 10:00:00+00:00,2026-05-13 20:00:00+00:00,SHORT,0.00649,0.006296,0.006384,0.006582,1.14,10,0.7258,GUARDIAN_MOMENTUM_FLOOR,0.7005
TRXUSDT,2026-05-13 16:00:00+00:00,2026-05-14 15:00:00+00:00,LONG,0.350285,0.353773,0.352481,0.348071,0.99,23,0.2289,GUARDIAN_MOMENTUM_FLOOR,0.7632
BNBUSDT,2026-05-13 20:00:00+00:00,2026-05-15 00:00:00+00:00,SHORT,672.333665,683.513175,662.647306,683.17159,0.89,28,-0.4357,LOSS,0.8059
NEARUSDT,2026-05-14 00:00:00+00:00,2026-05-14 05:00:00+00:00,SHORT,1.586206,1.56178,1.537677,1.625132,1.25,5,0.365,GUARDIAN_MOMENTUM_FLOOR,0.7169
AVAXUSDT,2026-05-14 08:00:00+00:00,2026-05-14 20:00:00+00:00,LONG,9.703849,9.979008,9.851658,9.589048,1.29,12,0.6889,GUARDIAN_MOMENTUM_FLOOR,0.8345
1000PEPEUSDT,2026-05-14 08:00:00+00:00,2026-05-14 20:00:00+00:00,LONG,0.004041,0.004142,0.004118,0.003981,1.29,12,0.6056,GUARDIAN_MOMENTUM_FLOOR,0.8018
ETHUSDT,2026-05-14 09:00:00+00:00,2026-05-14 19:00:00+00:00,LONG,2257.778325,2296.27129,2284.460123,2230.37955,0.97,10,0.4062,GUARDIAN_MOMENTUM_FLOOR,0.7567
1000SHIBUSDT,2026-05-14 09:00:00+00:00,2026-05-14 20:00:00+00:00,LONG,0.006268,0.006411,0.006362,0.006187,1.17,11,0.549,GUARDIAN_MOMENTUM_FLOOR,0.8149
DOTUSDT,2026-05-14 09:00:00+00:00,2026-05-14 20:00:00+00:00,LONG,1.323661,1.389305,1.348554,1.304992,1.33,11,1.2198,GUARDIAN_MOMENTUM_FLOOR,0.7776
TONUSDT,2026-05-14 12:00:00+00:00,2026-05-15 01:00:00+00:00,LONG,2.096548,2.101649,2.17713,2.028554,1.19,13,0.0408,GUARDIAN_EXIT,0.7721
SUIUSDT,2026-05-14 12:00:00+00:00,2026-05-14 16:00:00+00:00,LONG,1.202501,1.211494,1.234422,1.17702,1.25,4,0.167,GUARDIAN_EXIT,0.7714
SOLUSDT,2026-05-14 13:00:00+00:00,2026-05-14 20:00:00+00:00,LONG,90.775365,92.643655,92.150131,89.466308,1.05,7,0.4945,GUARDIAN_MOMENTUM_FLOOR,0.8081
DOGEUSDT,2026-05-14 14:00:00+00:00,2026-05-14 18:00:00+00:00,SHORT,0.114853,0.117312,0.111651,0.117254,1.33,4,-0.5554,LOSS,0.7325
DOGEUSDT,2026-05-15 08:00:00+00:00,2026-05-15 13:00:00+00:00,LONG,0.115298,0.111778,0.118401,0.111834,0.9,5,-0.7831,LOSS,0.7658
SUIUSDT,2026-05-15 19:00:00+00:00,2026-05-16 06:00:00+00:00,LONG,1.10125,1.072514,1.1341,1.07305,1.16,11,-0.6724,LOSS,0.764
TRXUSDT,2026-05-16 05:00:00+00:00,2026-05-16 11:00:00+00:00,LONG,0.351416,0.351664,0.352993,0.350233,1.33,6,-0.0023,GUARDIAN_MOMENTUM_FLOOR,0.7916
POLUSDT,2026-05-16 13:00:00+00:00,2026-05-17 00:00:00+00:00,LONG,0.089575,0.090775,0.09127,0.087738,0.92,11,0.3149,GUARDIAN_MOMENTUM_FLOOR,0.8052
BNBUSDT,2026-05-16 16:00:00+00:00,2026-05-17 16:00:00+00:00,SHORT,656.841415,652.275975,648.936037,664.356345,1.05,24,0.1538,GUARDIAN_EXIT,0.7745
TONUSDT,2026-05-16 17:00:00+00:00,2026-05-17 03:00:00+00:00,SHORT,1.930834,1.90195,1.878609,1.975856,1.16,10,0.354,GUARDIAN_MOMENTUM_FLOOR,0.7004
NEARUSDT,2026-05-16 17:00:00+00:00,2026-05-17 06:00:00+00:00,SHORT,1.49925,1.523553,1.468082,1.522792,1.32,13,-0.2622,LOSS,0.7223
TAOUSDT,2026-05-17 05:00:00+00:00,2026-05-17 23:00:00+00:00,LONG,271.41564,264.200529,277.20486,264.332695,0.82,18,-0.6846,LOSS,0.811
HBARUSDT,2026-05-17 09:00:00+00:00,2026-05-17 18:00:00+00:00,SHORT,0.091554,0.090815,0.090742,0.092213,1.23,9,0.1817,GUARDIAN_MOMENTUM_FLOOR,0.7185
ARBUSDT,2026-05-17 12:00:00+00:00,2026-05-17 13:00:00+00:00,SHORT,0.121339,0.11986,0.1191,0.122833,1.5,1,0.2848,GUARDIAN_MOMENTUM_FLOOR,0.7495
LINKUSDT,2026-05-17 13:00:00+00:00,2026-05-17 14:00:00+00:00,SHORT,9.7951,9.721858,9.671195,9.888029,1.33,1,0.1669,GUARDIAN_MOMENTUM_FLOOR,0.7457
BTCUSDT,2026-05-17 20:00:00+00:00,2026-05-17 23:00:00+00:00,SHORT,78190.885,77469.1152,77718.868289,78633.704178,1.07,3,0.2108,GUARDIAN_MOMENTUM_FLOOR,0.7498
ETHUSDT,2026-05-17 20:00:00+00:00,2026-05-17 23:00:00+00:00,SHORT,2187.1059,2130.94494,2170.639059,2201.52671,1.14,3,0.622,GUARDIAN_MOMENTUM_FLOOR,0.8391
BNBUSDT,2026-05-17 20:00:00+00:00,2026-05-17 23:00:00+00:00,SHORT,654.57255,650.074875,649.404245,659.122076,1.14,3,0.1518,GUARDIAN_MOMENTUM_FLOOR,0.8353
LINKUSDT,2026-05-17 20:00:00+00:00,2026-05-17 23:00:00+00:00,SHORT,9.724136,9.56578,9.601319,9.864704,0.87,3,0.3871,GUARDIAN_MOMENTUM_FLOOR,0.7921
DOTUSDT,2026-05-17 20:00:00+00:00,2026-05-17 23:00:00+00:00,SHORT,1.272364,1.250625,1.256168,1.290049,0.92,3,0.4071,GUARDIAN_MOMENTUM_FLOOR,0.8017
POLUSDT,2026-05-17 20:00:00+00:00,2026-05-17 23:00:00+00:00,SHORT,0.092094,0.090715,0.09097,0.092937,1.33,3,0.3542,GUARDIAN_MOMENTUM_FLOOR,0.8447
NEARUSDT,2026-05-17 20:00:00+00:00,2026-05-17 22:00:00+00:00,SHORT,1.533233,1.514757,1.504144,1.563272,0.97,2,0.2813,GUARDIAN_MOMENTUM_FLOOR,0.7616
1000PEPEUSDT,2026-05-17 20:00:00+00:00,2026-05-17 23:00:00+00:00,SHORT,0.003747,0.003679,0.003684,0.003798,1.24,3,0.4329,GUARDIAN_MOMENTUM_FLOOR,0.7677
XRPUSDT,2026-05-17 21:00:00+00:00,2026-05-17 23:00:00+00:00,SHORT,1.421589,1.4013,1.4057,1.431973,1.53,2,0.3368,GUARDIAN_MOMENTUM_FLOOR,0.7275
DOGEUSDT,2026-05-17 21:00:00+00:00,2026-05-17 23:00:00+00:00,SHORT,0.111104,0.108964,0.109473,0.113188,0.78,2,0.4615,GUARDIAN_MOMENTUM_FLOOR,0.8641
ADAUSDT,2026-05-17 21:00:00+00:00,2026-05-17 23:00:00+00:00,SHORT,0.255072,0.252126,0.252239,0.257808,1.04,2,0.2688,GUARDIAN_MOMENTUM_FLOOR,0.8355
